word,sentiment
的,-13.952540235737294
了,-14.717822592713599
我,-14.749808823326463
捂脸,-12.051226326716035
你,-11.78558515202616
是,-13.934479896238534
?,-4.658491793065422
都,-13.472387826093842
不,-12.990693056792333
就,-13.966205015808628
看,-12.01554514011932
这,-12.590444936174762
吗,-11.364459035298808
有,-12.848889861962238
好,-7.332405452191641
也,-13.257474899831545
玫瑰,7.925869282880372
呲牙,-4.737761618954512
这个,-13.979846622161986
在,-13.252031311649183
啊,-9.935998749052208
泣不成声,-10.46824929657351
鼓掌,6.397228560378318
赞赞,10.966149599734706
一个,-13.552499289680924
人,-12.090207196773102
吧,-10.07202846666516
他,-14.689614152786717
还,-12.44732567927717
说,-12.334877832122523
喜欢,-11.458256497937473
就是,-11.763586357029489
想,-11.7539272476088
要,-10.241477247014233
泪奔,-10.675660813612614
没,-13.179453827724526
.,-10.648114919220745
什么,-11.944246964965469
给,-12.015370376397193
微笑,-5.9605425614141625
去,-12.827183195007006
没有,-11.632651754128064
不是,-12.65919959916405
可以,-11.251576985226766
赞,-5.222313087630037
很,-10.657369111523103
怎么,-11.6199160777649
我们,-9.984744610466096
能,-11.310941517055912
吃,-12.230529656603181
比心,10.967428939099277
到,-14.575529999565115
呢,-11.028751172024142
这样,-11.545440830789158
会,-11.86801093564444
和,-12.489720897996783
她,-14.646157038569163
知道,-12.161058018528067
来,-9.966598023693354
做,-12.657900458588744
把,-13.000060773542044
这么,-11.026201964350015
自己,-11.341104283002597
还是,-11.236771289168235
你们,-6.611238691254095
流泪,5.556043640804158
个,-11.326875102660185
太,-7.762368826290326
那个,-12.17613191610765
多,-11.578559751975474
真的,-11.24656214070091
好看,-10.185740323571242
哈哈哈,-9.324561274880521
又,-11.673103153325199
那,-12.100473671182586
赞赞赞,3.346390340969343
感谢,11.38250794870265
看看,-11.328563932918918
小,-9.958662824878637
爱,-8.109942800934002
用,-13.46279718765395
呀,-9.72384517994804
现在,-12.446046606906364
中国,-1.400682213695707
上,-12.138893246574172
买,-12.51875333415931
被,-12.997699296673392
看到,-12.350955979479615
让,-11.577136179343238
感觉,-11.2929235886426
真,-8.416076976953022
哈哈哈哈,-6.941424380861345
才,-10.728374607050888
谁,-11.305495892830388
时候,-12.185878486657746
着,-11.92529443261778
视频,-11.490982230165308
为什么,-11.7920688805118
孩子,-9.899363784949319
不会,-11.7678460674991
对,-10.072361323329226
过,-12.346703253219502
叫,-11.506155038135965
最,-8.526829319225506
爱心,9.70251420407393
抠鼻,-10.40667288411575
觉得,-12.386935569699784
手机,-14.200103238738572
啥,-11.21617103920054
一下,-11.663486224179234
得,-11.867857400999439
一样,-11.289100646915688
跟,-11.73771889130189
好听,-6.745146480688249
大,-9.829177940949686
可爱,-5.3731535092667535
灵机一动,-9.51045922432143
加油,2.8794958133143314
应该,-11.299447127002809
这是,-10.283852931062949
不要,-11.22567650786035
屏保,-14.584005757974538
不能,-11.377303455786846
这种,-11.835003122765348
壁纸,-13.841074818992281
那么,-11.192916021267507
笑,-10.955987624673647
拍,-11.22154362364452
像,-11.475982492595861
男,-13.559253328565385
么,-10.533693677805479
一,-12.074672700673263
好像,-10.619097762459434
死,-11.064743575653262
再,-10.654148694992916
漂亮,-6.0480702498601815
还有,-10.408244790094441
听,-10.35285255975151
啦,-8.249045066231144
出来,-10.086661645317129
他们,-9.005272796829342
是不是,-10.814376438809102
大笑,-8.076735555725804
钱,-11.355226251168023
女人,-11.509832002342092
别人,-12.272171255792646
比,-10.960706613664422
拿,-13.380567440573465
挺,-10.819918341948576
嘛,-10.564433083024717
笑哭,-6.623765291415141
酷拽,-1.1610278862898693
一起加油,9.853842584333831
男人,-11.710146518072406
有点,-10.591257435610931
哦,-8.04082045625314
已经,-10.99412663387482
送心,5.174006041485339
哈哈,-10.516422594685551
找,-11.460054755859828
走,-10.178226156115038
但是,-12.096365699010892
以为,-11.552163975426494
下,-10.207877178829504
等,-9.726934560452646
当,-12.514665821226624
最后,-10.890408817332961
关注,-6.244657820442105
哪里,-10.499542225424305
打,-10.767609298495634
玩,-11.909283474472115
里,-11.118151978353788
厉害,-8.65882734772304
因为,-11.177772271824091
打脸,3.318457009304125
发呆,-6.79492508917249
美女,-6.360224990006461
刷,-12.143429134062043
人家,-11.756665740043946
抖音,-11.174699598972587
一定,-7.854850557057848
以后,-10.645684294326328
不错,-9.633673623641808
老公,-12.984664554290095
男朋友,-13.828645392707974
可能,-10.457896150556087
如果,-11.828322820928594
发怒,2.610112924932741
车,-11.441168157385357
老师,-9.706651805919321
带,-11.465871538955035
为,-6.292085308962948
咋,-11.244336754100011
完,-11.13706171694849
卧槽,-10.099588262806177
快,-10.204943607776277
穿,-11.018951525743867
奸笑,-11.967050574087365
女,-12.993983735059443
一起,-10.8973533274513
唱,-10.394482769370887
多少,-11.39644070649187
点,-7.983222137297244
今天,-10.786741920485817
一直,-11.147633572774506
只,-11.404501343557236
年,-10.592304796961999
强壮,7.747803823819741
所以,-11.205012185444703
哪,-10.656282099583905
两个,-11.061811955484329
直接,-11.102579343017435
东西,-11.831358500479377
懂,-11.756059199548398
小姐姐,-10.633792603690427
起来,-9.580916877810536
呆无辜,-8.442878403605212
然后,-13.199958078126723
好好,-9.928913113259675
评论,-10.358057315309628
更,-11.03830681221448
牛,-9.948157202713102
怕,-10.536255698000405
老婆,-12.15430972513476
要是,-11.083820906135871
哥哥,-8.830975803761445
有钱,-11.660600339991927
只有,-11.14381866370076
们,-4.709857878071762
不好,-11.257178372535657
支持,-6.636126297338252
回来,-9.419481291420112
别,-11.080221990730394
大家,-9.115391749899754
希望,-6.527093208992753
刚刚,-13.835424878841462
逼,-10.094107287346262
发现,-12.557027441908195
以前,-11.59416630519184
老,-10.295186954861286
戴口罩,4.3181394608691654
开,-10.807495752783899
问,-11.282564795233945
但,-11.00131602569763
原来,-11.690322243185213
不失礼貌的微笑,-10.46117597951063
喝,-10.59668751318904
有人,-12.387326338314137
兄弟,-9.360456547993591
姐姐,-9.838201606594165
从,-11.8035429204854
问题,-11.245953125618017
耶,-9.292889002755077
看着,-10.62447064139607
有没有,-10.836513681314724
开始,-11.13311477252656
女朋友,-13.16176253298931
高,-10.431461221526833
一点,-10.547406867191103
后,-10.734346647166486
我家,-11.025102344729703
只是,-11.320290399080363
刷到,-13.807842245076959
渣,-12.151108428235046
很多,-11.41668267962388
需要,-10.631591598128614
衣服,-10.852362537619396
一次,-10.803491058256995
它,-9.37459898914211
看见,-11.60782292065903
好吃,-10.14222393999577
告诉,-10.79484940487269
儿子,-10.74053753932729
中,-9.546390603040617
跑,-11.047959855199387
里面,-11.493813948238298
老板,-10.905071884393395
名字,-10.967863324737488
家,-10.883976266010686
卖,-10.509540117253797
不到,-11.036482620737706
点赞,-7.051367293403464
朋友,-10.462259487346481
电影,-10.123119911900233
特别,-11.24246826867297
英雄,-1.4146670897637934
后面,-10.662640018288725
干,-7.9803112870103945
地方,-10.518835512820822
求,-6.86823309121898
一天,-10.421654496329495
想要,-10.091521002549841
给力,8.200529095346354
请,-10.082170728529075
黑脸,-10.641513263508386
肯定,-10.714248452146379
生活,-10.444781115633866
哇,-9.01519491400008
女孩,-11.168589035512094
可,-10.477610996743921
我要,-10.609974994937192
终于,-10.74114193983325
不行,-10.705342114622454
其实,-11.38331834359127
声音,-10.901770122397854
美,-9.584037678554026
不了,-10.108450330356687
不想,-11.35689661636589
长,-11.019578491283394
谢谢,-7.433027121346232
火,-10.92063445839756
害羞,-4.776555441819469
真是,-9.72927379742365
不用,-10.389539036316553
巧克力,6.25403262632772
头发,-10.891308321629582
月,-10.512895032662357
为啥,-10.500303853080327
小时候,-11.822797385833391
几个,-11.312852919283918
这些,-11.088184972577764
出,-10.94287870567005
快哭了,-7.17767413809114
幸福,-6.666749213929896
这里,-10.333497539785808
机智,-9.009371802803102
哭,-10.306754656279367
好多,-10.903435547560916
永远,-7.62333062962912
世界,-9.680036666693926
可怜,-5.961101725961477
偷笑,-8.407448235164273
危险,-10.584139811091474
事,-10.475311876923763
居然,-10.563582213113843
一般,-11.24232975442521
白眼,-10.735674988422321
天天,-10.425469199445663
努力,-9.979053430234345
帅,-9.589646171772488
妈妈,-8.75736701556765
!,-3.0040335938219807
放,-11.092946146905456
你好,-7.805851884610034
美国,-8.918494352392706
妈,-11.375706725799391
为了,-10.562721450154587
女生,-11.819188155872297
腿,-10.213862033007587
刚刷,-13.835188468167955
不敢,-11.041287801458687
狗,-10.928899787216059
该,-10.584812387585195
刚,-11.879700218668498
与,-10.288131912113018
电视剧,-10.57976328246657
确实,-10.095126847110729
记得,-10.876943413070052
工作,-10.376517838638135
翻,-9.845770167031194
有个,-12.441940221102843
时间,-10.484673830971333
每天,-10.908187113496862
的话,-10.911030352425435
跳,-10.48086557447868
先,-10.203076398455224
找到,-9.930352281549412
迷人,-10.047739620354825
男生,-11.753955724514718
每次,-10.10512074744692
样子,-10.429909796041201
所有,-10.577965120605704
结果,-11.52374540502962
回家,-7.558025136359526
啊啊啊,-7.502244743178904
疫情,-7.773682694437512
开心,-9.238896107643923
大哥,-8.676191624947535
结婚,-11.362854028025467
口罩,-9.72947656822614
不过,-10.082050830268717
前,-10.989408891230127
一种,-10.079258068933894
父母,-11.576217291010632
平安,0.5963878333059324
一句,-9.603323543796279
看过,-10.761077566507069
音乐,-9.55368886821092
女儿,-10.10138485255052
只能,-10.117221854094156
送,-9.89495412362671
尴尬,-9.742100115175663
换,-10.732714801074236
手,-10.731654599684255
试试,-10.362188194537145
哎,-10.433821275565577
靠,-10.605813016281008
岁,-10.679096938978482
真实,-10.028396872689749
祈祷,-1.6605834969431952
住,-10.92317869977388
站,-10.452751625185108
容易,-10.619835578215142
简单,-10.077968415728906
链接,-10.25530237766004
帮,-10.275236977907888
多少钱,-9.600085218860956
羡慕,-9.610700537981264
话,-10.491328258926758
调皮,-2.047027563601289
人生,-10.609742035879137
突然,-11.067601050318872
眼睛,-10.465993217312423
重要,-10.521518830883647
故事,-10.125353004329723
好帅,1.0040467736702003
之前,-11.756148928635872
怎么办,-10.680962199294887
动态,-12.6902004503974
只要,-10.74767233733793
快乐,-9.67999831257742
婆婆,-10.727618386633425
天,-10.184334268953824
请问,-10.624420664237828
优秀,-8.718313675951642
小孩,-10.600543862175025
必须,-9.135087961426779
睡,-8.951606516865336
加,-8.900334331504125
发,-10.720679013169525
不如,-10.704169824925312
掉,-10.727324264965656
搞,-10.822115014717111
唱歌,-10.381213963923814
粉丝,-9.498589417783904
那些,-10.877033536579997
人民,-2.565552961973903
少,-9.838886642252435
万,-10.220835759198618
哪个,-10.830968884083587
一只,-10.17109380962063
家里,-10.631791481115517
同学,-10.419531336947879
国家,-7.834362864719651
干嘛,-10.333036669601722
保护,-5.846854583814116
估计,-10.777575608623854
