word,sentiment
疑问,-217.9656772
一句,-128.0446085
致敬,548.0513386
必须,266.9058871
睡,-115.1335801
沙发,33.55765941
祖国,537.6417958
期待,338.5279936
不配,3.619682035
先,-103.8241536
竟然,1.980800602
掉,-220.1010419
好好看,288.857074
岁,-27.86102174
颜色,181.4898862
现实,163.5922555
站,82.53132166
换,-58.73397797
见,0.220663289
媳妇,58.29270241
优秀,355.7730876
不敢,-34.54978348
腿,124.8143804
过来,-60.08016915
官方,181.0839678
容易,124.5321946
多少钱,25.20505864
年轻,494.0395614
想起,35.76277155
鸡,-54.07762533
灵光一闪,32.96886703
养,-189.537405
学,81.4750522
回,-60.12315118
确实,328.6195879
好人,531.2941348
成,-8.423149206
注意,13.55781865
试试,-29.52261325
适合,181.6777956
痛,-63.14412575
大哥,134.3644234
变成,43.19918266
相信,123.9858328
钉,-520.3001432
成功,-21.09712992
故事,175.9262743
才能,-1.085324397
学习,196.9455627
到底,-57.60525763
今年,-141.114834
加,86.84150856
起风,376.5987399
超级,438.5961564
同款,157.5362475
演,295.875698
作品,242.1510567
小朋友,118.6096895
游戏,-64.77291698
赢,71.04169397
最好,201.184036
先生,84.33209627
武汉,312.0110369
长大,184.3913162
老板,68.57344366
第一个,149.6603123
看完,-147.7347205
还要,-74.66584125
身材,450.9395788
放手,288.3084759
心动,179.5590175
心里,126.1276345
非常,493.6955349
行,141.278844
屏幕,-91.22752369
结婚,-45.69581035
鬼,142.8394028
最美,532.7075337
号,-87.53084117
有点像,202.0030133
太美,480.4829851
越,248.2893287
拳头,549.3577806
说话,259.1949057
搞,5.385095436
写,-46.97859644
色色,574.672436
分,-4.47107706
我会,26.68250755
真实,310.8082906
思考,-130.0326234
可惜,164.2170418
抱拳,673.6607896
搞笑,408.7556922
每个,179.041034
舔屏,503.0576058
少年,269.8042114
讲,273.2734923
隔离,-102.5691427
骗,-27.36103847
弄,-63.91353585
戒指,302.9944336
本来,41.66512227
坏笑,341.4041695
难道,-71.01765891
青筋,376.0949564
认识,124.2805514
小孩,100.3666148
那种,71.65683576
万,-29.10012268
帅哥,396.0402709
超,446.7671302
医生,246.8659317
剧,108.2301202
更好,204.7477621
准备,-88.38841866
住,-16.34542676
忘,-18.09351991
锁屏,-76.98603325
完整版,416.3479256
重要,155.8508007
明白,1.800148188
弟弟,154.0649132
单身,27.60803331
辣椒,80.71294751
旁边,48.88401924
睡觉,23.86372418
甜,292.8687784
右边,78.90307089
姐妹,116.8226612
干嘛,39.49389084
婆婆,115.0613697
好美,443.7559756
意思,-31.95177611
握手,529.9514685
听到,75.54725498
心疼,269.8683244
不吃,44.02982367
喷,10.98448787
歌名,249.0872638
尴尬,155.3095365
李,224.2305706
个人,-32.52121137
陪,21.87981065
姑娘,332.5799272
下次,-26.8223615
信,113.819526
一看,74.49969221
三个,-60.44955714
遇到,54.8282653
震惊,-363.9070683
色色色,676.226932
色,338.8814959
安排,74.43620264
丢,-3.104297244
这才,295.9576093
几天,-118.219607
工作,-14.54837273
名,4.299066226
绝对,160.1328424
赶紧,-105.4863718
越来越,448.7973039
马,216.229927
勤洗手,425.2825923
祝,455.6526845
看不见,-0.114203362
刚才,-83.00160023
梦,109.2129914
集合,161.2875222
疼,90.72028128
精神,296.6612268
值得,334.4559001
过去,-30.20709533
这部,96.30606766
脸,81.91853667
头,-52.76399484
客厅,93.69365976
仙女,239.510209
估计,-71.44449812
愿,294.0237536
对象,-81.45831233
字,165.46928
少,-9.536162613
离婚,-11.7063692
惊喜,485.8984567
前面,41.40517884
根本,-59.8871818
鱼,-85.16873601
张,276.9895807
想到,0.800289145
作者,36.03223106
黑,80.28231132
肉,133.4224522
抱,-35.61708963
月亮,103.35749
出去,-113.6299817
屏,-100.748061
我爱你,474.6322032
动作,222.6205549
吃饭,38.10402246
明星,327.878182
人间,211.9314029
第一次,-32.82371095
明天,6.806674015
飞吻,663.5999727
不够,25.81535673
长得,374.3532622
胖子,246.6612627
变,147.2463127
房子,-102.2861837
棒,548.0093541
胖,27.55940805
推荐,50.33542228
哥,85.65408248
锁,-182.7711262
跟着,67.87062665
诶,313.254681
比较,217.0409665
新,104.3049844
继续,137.0609469
小心,13.2153646
举报,-113.0207287
错,-78.55157606
演员,261.4953982
差不多,55.48166007
星星,116.3388647
还好,63.31563245
难,87.71681198
总是,91.22839581
最近,42.65536417
真正,242.8520829
眼神,179.4514896
当时,-30.15759775
后来,-62.16737038
完美,267.4424306
夏天,78.273208
倒,-34.30440497
日本,141.5066633
美丽,404.5892384
上车,161.9355854
心碎,195.8025172
打开,-65.62000971
分手,-84.89546039
菜刀,215.8554799
一条,-80.79859553
灵魂,81.11082974
呵呵,205.154904
人才,175.405429
怀疑,-19.83678081
价格,-0.055629829
马上,-26.13456079
大哭,4.834552478
抢,-63.14933887
裤子,77.53169391
学会,87.86422477
苹果,-151.0278234
不对,11.45871652
脖子,188.0184082
活,35.91743672
统一,211.0552575
气质,454.8255514
王,154.2628494
害怕,59.60541586
差点,-99.51754707
呐,188.8685322
儿,128.4280475
林童学,232.9820451
在家,-30.19881151
俩,234.1144316
小鼓掌,475.3550616
湖北,146.1393104
丶,151.4106825
女神,366.5257097
坐,-82.11290982
吹,-93.39240913
坏,107.3809524
王者,-30.30529302
糖,15.47495709
教,103.9651216
刺激,137.2522959
坚持,-53.18628961
敢,51.82782989
一颗,-19.19190859
天使,475.4517994
认真,134.4414807
脚,-39.9373871
阳光,201.1605852
晕,-91.82991071
一年,-79.65377499
女孩子,166.4821121
太好了,407.28203
分钟,6.761301185
强大,305.4747285
小可爱,215.8986943
英语,180.9762253
安全,67.97765607
菜,85.20470407
出现,1.097154262
机会,41.27666715
鸭,242.19685
路过,221.0215496
聪明,547.6720865
性感,523.0738491
回复,27.14890366
吐血,-31.67833723
不在,56.00175973
感情,79.0548379
结局,77.15648719
经常,-9.532734208
妈呀,126.3829687
舒服,294.6808536
愉快,465.9494849
帅气,417.3393499
关系,60.19135128
健康,344.8649334
最惨,200.6558334
呦,256.2392412
蓝,262.1901983
胡瓜,659.1066262
全部,44.69474017
下去,81.94978986
喵,112.5258728
小伙,280.8407615
太阳,132.0496373
植物,181.1209087
归来,422.1030369
进去,-11.86785533
三岁,105.3999405
反正,-0.710019214
够,176.7274635
咖啡,610.2326809
听说,81.92744067
昨天,-94.87180512
明明,88.48203393
皮肤,105.8449134
扔,-80.34128518
拥有,170.8916437
模仿,126.9642795
怪,54.7564298
吃瓜群众,148.6271451
经历,70.6246752
上学,5.190085031
来看,66.59722579
一辈子,168.8429876
开学,-23.03211944
味道,187.8796579
就算,36.6312133
不让,-50.69715562
善良,356.9139233
男孩,199.120618
缺,-51.49049421
啥时候,12.38571106
绝望的凝视,160.9525791
我想静静,-104.0921062
娶,101.0189156
水,6.852716679
酱,29.1439108
青春,156.578341
美好,337.9287314
下来,19.00082347
不香,1.690919893
表情,216.4799648
互粉,445.7616823
杨,169.8034485
选择,98.73776451
少女,170.4885359
西瓜,263.3030176
拉,1.239253068
能量,307.6171539
未来,240.1085006
上面,-17.30016423
真棒,511.6041439
发型,192.1338544
效果,101.7665773
鞋子,96.47537328
上班,-84.17212049
红包,213.8022048
去过,55.26579099
理解,-5.591653004
老子,8.775461424
阿姨,193.4562066
狗狗,278.67798
傻,77.25431566
收藏,104.529221
懵,87.48976417
情书,307.9897255
伟大,373.027419
地球,140.0567668
摸头,408.3274709
看来,39.03139572
颜值,314.0704276
白,176.2220106
算,12.81718791
追,-58.88777207
进,-99.67164228
对面,-41.03881422
早,20.25933702
吉他,103.9542012
好样,484.1302219
亲,180.8931555
学校,73.64900218
高手,241.4785723
原因,-20.95429033
情况,27.93925695
出门,25.45502913
欺负,47.5417687
惊呆,44.35764933
接,161.052714
祝福,277.3580943
大人,53.36239991
兔子,95.34028417
恐惧,412.2701147
贵,67.97170772
全是,38.28698082
好玩,229.3596924
无,124.4786052
飞机,-89.9901057
不看,45.34127508
差,90.52143961
厕所,-96.68972481
闺蜜,42.27338427
包拯,-106.2028738
专业,15.04142845
背景音乐,102.02956
当年,62.15567484
河南,183.6320588
讨厌,163.7736056
照顾,270.0049359
胜利,329.1191281
感恩,277.4831315
意大利,148.4664791
快点,-88.09136035
早就,50.44597257
妹子,161.7597389
微信,49.21098849
毛病,71.60324851
二,-1.980937398
吓人,183.4483647
太棒了,361.0050183
啵,197.2631796
小时,-65.82350206
三,75.61215941
作业,-8.662167397
真心,222.459454
生气,105.4081801
下面,98.2411443
家庭,146.5468115
太帅,262.9337303
国外,65.6678399
公主,131.2392771
草莓,76.77288542
好不好,-18.94442748
曾经,101.3965846
愿意,105.4486383
对了,379.9465704
战场,99.64541308
奶茶,62.20696524
小小,109.5051868
路,25.95340332
广东,86.1467036
成为,126.376382
皱眉,100.8430358
珍惜,121.2489132
难受,161.2839255
回去,-121.5119357
包,48.37547589
我刚,23.03983449
嘴唇,492.7073454
对不起,88.46649571
身体,168.9319687
两,120.7680087
美美,467.799811
饿,87.02709113
没想到,54.98797279
便宜,108.7293336
没人,7.858334332
学生,147.2746001
憨笑,408.5722757
就要,1.204199271
确定,10.73496016
病毒,34.58232872
没事,65.28660535
撇嘴,-96.36819411
滴,160.5984855
暖,270.5314227
红,120.2042295
废,103.4096906
假,58.73577516
强,190.02997
爷爷,170.972986
斤,69.34998783
樱桃,159.0085978
垃圾,-30.5753965
过年,208.9036283
离开,51.4540671
男孩子,156.7086988
顶,78.66535883
飞,48.70013264
求翻,215.3157625
粮,56.77890563
亲爱,274.7624162
说实话,153.1350059
中间,69.82783503
城市,103.2229338
